Поезд/Нитка,Дней до отправления,Станция отп.,Станция назн.,Тип/Кл.обсл.,Кол-во прод. мест,Сумма по бил.,Сумма по плац.,Сумма серв. усл.,Итого сумма билета,Расстояние
470С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1723.4,284
470С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1723.4,284
470С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,2201.9,284
470С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1205.0,284
470С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1218.3,284
470С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Б,1,,,188.2,1380.1,284
470С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Э,1,,,188.2,1380.1,284
470С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
460С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1874.9,284
460С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1874.9,284
460С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,2060.1,284
460С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Э,1,,,188.2,1380.1,284
460С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
460С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
806Э,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,1С,1,,,0.0,1931.2,284
806Э,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,1С,1,,,0.0,1931.2,284
806Э,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Е,1,,,0.0,1271.4,284
806Э,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Е,1,,,0.0,1271.4,284
806Э,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Ж,1,,,0.0,1271.4,284
806Э,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Ж,1,,,0.0,635.8,284
806Э,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Ж,1,,,0.0,1271.4,284
806Э,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Ж,1,,,0.0,635.8,284
526С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1714.1,284
526С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1714.1,284
526С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,2216.1,284
526С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,2216.1,284
526С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Б,1,,,188.2,1380.1,284
526С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Э,1,,,188.2,1380.1,284
